1,1138.5,0.527011,6
2,697.785,0.501587,7
4,376.988,0.530521,8
8,183.55,0.54481,8
16,111.403,0.504922,9
32,109.574,0.513354,18
64,102.628,0.502421,33
128,100.828,0.503643,65
256,107.925,0.503099,139
512,102.205,0.500679,262
1024,92.8103,0.500858,476
2048,59.1491,0.500267,606
4096,32.0827,0.500739,658
8192,43.1518,0.500182,1768
16384,31.0223,0.500168,2542
32768,29.2457,0.500079,4792
65536,20.3338,0.500041,6663
131072,14.1923,0.500038,9301
262144,14.1532,0.500025,18526
524288,26.8605,0.500004,70316
1048576,30.4623,0.500001,158658
